fabricante,modelo,codigos,descripciones
NEC,NP-M430WL,"[""13398"", ""2233232443431112"", ""PE PRY11"", ""XXX0113""]","[""Proyector NEC"", ""Proyector de sala"", ""Proyector 4300 Ansi Lumenes en sala"", ""Proyector de Sala""]"
NEC,NP-ME361W,"[""30002"", ""CO PRY21""]","[""Proyector 3.600 Ansilumenes / Formato 16:10/WXGA LCD"", ""Proyector 3.600 lm | Formato 16:10""]"
NEC,NP-ME401W,"[""30080"", ""CO PRY22""]","[""Proyector 4.000 Ansilumenes / Formato 16:10 / WXGA LCD"", ""Proyector 4.000 lm | Formato 16:10""]"
NEC,NP-P501X,"[""12176"", ""CO PRY39""]","[""Proyector 5.000 Ansilumenes / Formato 4:3 / XGA LCD"", ""Proyector 5.000 lm""]"
NEC,NP-VE303X,"[""CO PRY23"", ""PE PRY18""]","[""Proyector 3.000 lm LCD | Formato 4:3"", ""Proyector 3000 Ansi Lumenes 4:3""]"
NEC,PA-500U,"[""12581"", ""CO PRY18""]","[""Proyector de 5000 ansilumenes"", ""Proyector 5.000 lm""]"
NEC,PA-600X,"[""11133"", ""11519"", ""CO PRY04"", ""PE PRY20""]","[""Proyector 6.000 Ansilumenes / Formato 4:3 / XGA LCD"", ""Proyector 6.000 Ansilumenes / Formato 4:3 / XGA LCD"", ""Proyector 6.000 lm | Formato 4:3"", ""Proyector 6000 Ansi Lumenes 4:3""]"
NEC,VT-48,"[""10815"", ""10900""]","[""(PROBAR)Proyector 2000 Ansilumenes con cable VGA y de poder"", ""Proyector de 2000 ansilúmenes (uso Anf)""]"
NOVASTAR,MCTRL300,"[""12991"", ""CO PRV04""]","[""Procesador de Video LED (1.3 MPixeles)"", ""Procesador de Video LED 300""]"
NOVASTAR,MCTRL660,"[""12565"", ""CO PRV02""]","[""Procesador de Video LED (2.6 Mpixeles Cascading)"", ""Procesador de Video LED 660 | Novastar""]"
NOVASTAR,VX600,"[""PE PRV06"", ""PROCLED600""]","[""Procesador de video - VX600"", ""controlador todo en uno led, 3.9 Millones de Pixeles (6 PUERTOS)""]"
OKI,B4100,"[""12064"", ""12277""]","[""Impresora Laser B/N"", ""Impresora Laser B/N""]"
POLARLIGTH,PL-M003,"[""PE ILU14"", ""XXX167""]","[""Consola DMX 512"", ""Consola de Luces DMX - Control DMX 512""]"
POLYCOM,HDX7000,"[""12029"", ""CO ACC46"", ""VICONPIM""]","[""Unidad de control sistema Videoconferencia"", ""Unidad de control multipunto sistema de videoconferencia"", ""Unidad de Control Multipunto Sistema de Videoconferencia""]"
POLYCOM,SOUNDSTATION DUO,"[""CO ACC68"", ""PE MISC10""]","[""Telefono Conferencia | Polycom"", ""Telefono Conferencia""]"
PRESONUS,STUDIOLIVE 16.0.2,"[""12187"", ""12832""]","[""Consola Digital Presonus"", ""Consola Digital Presonus""]"
PROSKIT,MASTER MT-7051N,"[""40710"", ""CO ACC19""]","[""Probador de Cables de Red RJ45+ RJ11"", ""Probador de Cables de Red RJ45+ RJ11""]"
PTN,PA2B,"[""40504"", ""CO AMPA08""]","[""Amplificador de Linea Audio"", ""Amplificador de linea 2x20""]"
QSC,RMX 1450,"[""10085"", ""CO AMPA02""]","[""Amplificador de audio"", ""Amplificador de audio""]"
QSC,RMX 2450,"[""PA AUD02"", ""PE AMP04""]","[""Amplificador de audio"", ""Amplificador de audio 2400 W""]"
QSC,RMX 4050,"[""10086"", ""PE AMP06""]","[""Amplificador de audio QSC 4050"", ""Amplificador de audio grande para S.A.""]"
QSC,RMX4050,"[""10655"", ""PE AMP05""]","[""Amplificador de audio grande para S.A."", ""Amplificador de audio grande para S.A.""]"
RADIAL,SB2,"[""13096"", ""CAJDIRSB""]","[""Caja Directa"", ""Caja Directa""]"
RADIAL,X- AMP STUDIO,"[""6025"", ""CO CAD06""]","[""Caja Directa - Reamper"", ""Caja Directa Activa Reamper""]"
RIGE,S/M,"[""11842"", ""11856""]","[""Par LED cortos negros"", ""Piso LED controlador para DMX pista baile 36 METROS""]"
ROLAND,V-1HD,"[""60605"", ""PA VID02"", ""SK162790641""]","[""Switcher Video Roland HDMI"", ""Switcher de video Roland V-1HD"", ""Switch de Video HDMI""]"
RUTHER,DRAPE 200,"[""PE ILU04"", ""SK159449036""]","[""Fresnel LED"", ""Fesnel LED 1KW""]"
S/M,S/M,"[""11847"", ""11848"", ""11849"", ""11850"", ""11851"", ""11853"", ""11855""]","[""Barra de fierro"", ""Base para foco"", ""Muela de ajuste chica"", ""Muela de ajuste mediana"", ""Muela de ajuste grande"", ""Teclera para luces"", ""Cordon trifasico chucos Rojos""]"
S/N,S/N,"[""11845"", ""11854"", ""12363"", ""12364"", ""12733""]","[""Bola espejo disco grande 20\""\"""", ""Cable multipar de energia de 12 canales"", ""Bola espejo disco grande 18\""\"""", ""Bola espejo disco grande 50\""\"""", ""Bola espejo disco grande 16\""\"" + Motor""]"
SAMSUNG,4003,"[""11238"", ""PE MON27""]","[""Pantalla LED 32\""\"""", ""Monitor 32\""\"" Led""]"
SAMSUNG,S22F350FHL,"[""MON 22\""\"""", ""MONITOR 22\""\""""]","[""Montor 22\""\"" Full HD"", ""Monitor 22\""\"" (uso exclusivo Digital Signage Hotel Regal Pacific)""]"
SAMSUNG,S24R35AFHN,"[""14392"", ""PE MON20""]","[""Monitor 24\""\"""", ""Monitor 24\""\""""]"
SAMSUNG,S3 24'',"[""PA PAN02"", ""PA PAN03""]","[""Pantalla 24\""\"""", ""Pantalla 49\""\""""]"
SAMSUNG,UM55EH6000,"[""11571"", ""PE MON35""]","[""Monitor LedTV 55\""\"" con cable HDMI, cable poder y control remoto"", ""Monitor 55\""\"" Samsung""]"
SAMSUNG,UN65MU6100,"[""90001"", ""CO PAN32""]","[""Pantalla TV 65\""\"" 4K"", ""Pantalla 65\""\""""]"
SAMSUNG,UN75NU7090P,"[""PA PAN09"", ""PA PAN10""]","[""Pantalla 75\""\"""", ""Pantalla 85\""\""""]"
SATECHI,ST-CMBPM,"[""14667"", ""PE ADA01""]","[""Convertidor USB C HDMI"", ""Adaptador USB C - HDMI""]"
SENNHEISER,ADP UHF,"[""ANTDISTSENN"", ""DISTANTSENN""]","[""Antena direcional Pasiva UHF para microfonia Sennheiser"", ""Kit Distribiucion de Antenas para Microfonia  UHF (Sennheiser)""]"
SENNHEISER,E604,"[""12302"", ""CL MIC 02""]","[""Microfono Cardioide Instrumental para tambor"", ""Microfono Alambrico Dinamico Bateria""]"
SHURE,BETA 57,"[""12301"", ""12599""]","[""Microfono Alambrico"", ""Microfono Alambrico Dinamico Vocal""]"
SHURE,BETA 58A,"[""12517"", ""PE MIC19""]","[""Microfono Alambrico Dinamico Vocal"", ""Microfono Dinamico Alambrico Vocal 58A negro""]"
SHURE,BLX1288/P31-J10,"[""5009"", ""5012"", ""5013""]","[""Microfono Inalambrico de Mano"", ""Microfono Inalambrico Solapa"", ""Receptor Inalambrico""]"
SHURE,MX412DC,"[""10368"", ""CO MIC02""]","[""Microfono Cuello de Ganso 12\""\"""", ""Microfono Cuello de Ganso 12\""\""""]"
SHURE,MX418D/C,"[""02030405"", ""606051"", ""CHANGE1"", ""CO MIC04""]","[""Micrófono de Podio 18\""\"""", ""Microfono Cuello de Ganso 18''"", ""Microfono de Podio 18\""\"""", ""Microfono Cuello de Ganso 18''""]"
SHURE,PG,"[""11246"", ""11790"", ""CO MIC06"", ""CO MIC07"", ""PE MIC22""]","[""Micrófono Inalámbrico Volante/Mano PG"", ""Microfono Inalambrico Lavalier / Solapa PG"", ""Microfono Inalámbrico de Mano PG"", ""Microfono Inalámbrico de Solapa PG"", ""Micrófono PG Mano""]"
